source_system,entity_name,procedure_number,lot_number,line_no,item_name,okpd_code,okpd_name,quantity,unit,price_rub,item_description,item_id_external,okei_code,unit_price_rub,line_total_rub,sberb2b_need_id,sberb2b_condition_id,unit_price_source,focus_category
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,9,Салфетка хозяйственная с ПУ покрытием Vileda Professional микрофибра 38x35 см 260 г/кв.м,,,3.0,шт,7447.530000000001,с ПУ покрытием Vileda Professional микрофибра 38x35 см 260 г/кв.м,e8e64ad6-ad84-4c99-9901-2f205374c063,796,2482.51,7447.530000000001,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО Страховой брокер Сбербанка,83087851,1,10,Салфетка хозяйственная повышенной впитываемости с ПУ покрытием микрофибра 30x30 см 220 г/кв.м,,,10.0,шт,883.1,овышенной впитываемости с ПУ покрытием микрофибра 30x30 см 220 г/кв.м,3b9be9ca-47e6-4563-ac63-cdf84120503d,796,88.31,883.1,dcb7c527-1127-4f4b-b1a9-7cfc900001df,aa91df78-1afd-4d6e-a5e8-8baa07abc865,sberb2b_goods_api,Other
sberbank_ast,ООО СберТех,83308764,1,1,Рабочий стол Gloss СРП-П.005.1,,,5.0,шт,0.0,В соответствии с техническим заданием,2b14829b-cc56-4a83-8561-d8b906c5f4d7,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,2,"Стол Bend 8СР.128-S Мобильный стол складной прямолинейный, без ручки",,,2.0,шт,0.0,В соответствии с техническим заданием,e5667a45-4c0a-46a4-b052-525cd5ecad98,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,3,Стол Trend TRD29622004 письменный,,,1.0,шт,0.0,В соответствии с техническим заданием,2479c4fa-f8f6-4d6a-863f-ecde947693a3,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,4,Кресло Гарда SL L-035S для руководителя Гарда SL,,,5.0,шт,0.0,В соответствии с техническим заданием,286cc214-8a4e-4da9-94ac-9f99f966b086,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,5,Элемент стола Avance 6МПН.002 для переговоров начальный,,,1.0,шт,0.0,В соответствии с техническим заданием,10453104-b321-4e37-a9a1-c526ced32e23,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,6,Элемент стола Avance 6МПК.002 для переговоров конечный,,,1.0,шт,0.0,В соответствии с техническим заданием,12c23e16-9d09-4574-8ee4-69faf9b77714,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,7,Конференц-кресло Вельд CF HB1102,,,12.0,шт,0.0,В соответствии с техническим заданием,a4ea068c-f576-4a11-8423-02d03014c3af,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,8,Шкаф Avance 6Ш.005.1 для документов,,,2.0,шт,0.0,В соответствии с техническим заданием,96df85ab-013d-4af0-88bd-2a8684759539,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
