entity_name,procedure_number,lot_number,subject,focus_category,price_rub,category_median_price,value_ratio_to_category_median,anomaly_type,anomaly_reason,detail_url
ПАО Сбербанк России,SBR028-2403270022.1,1,г. Санкт-Петербург 3. Процедура продажи б.у. ИТ оборудования в количестве 32 штук.,Other,96000.0,,3.75,repeated_subject_price_shift,same subject price spread 3.75x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1771385
ПАО Сбербанк России,SBR028-2403130018.1,1,г. Санкт-Петербург 2. Процедура продажи б.у. ИТ оборудования в количестве 32 штук.,Other,96000.0,,2.3177083333333335,repeated_subject_price_shift,same subject price spread 2.32x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1716182
ПАО Сбербанк России,31312397,1,Спортивный инвентарь,Other,95000.0,,5.238959894736842,repeated_subject_price_shift,same subject price spread 5.24x,https://sberb2b.ru/request/supplier/preview/9678bda0-c182-4757-a652-f423e37ef724
ПАО Сбербанк России,SBR028-2412240034.1,1,г. Москва-7. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,90000.0,,2.6666666666666665,repeated_subject_price_shift,same subject price spread 2.67x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2641668
ПАО Сбербанк России,SBR028-2405140059.1,1,г. Екатеринбург. Процедура продажи б.у. ИТ оборудования в количестве 242 штук.,Other,89100.0,,2.2285072951739617,repeated_subject_price_shift,same subject price spread 2.23x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1932909
ПАО Сбербанк России,SBR028-2506160021.1,1,г. Москва-3. Процедура продажи б.у. ИТ оборудования в количестве 15 штук.,Other,84000.0,,3.3684210526315788,repeated_subject_price_shift,same subject price spread 3.37x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3170034
ПАО Сбербанк России,SBR028-2407080036.1,1,г. Петрозаводск. Процедура продажи б.у. ИТ оборудования в количестве 42 штук.,Other,84000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2108826
ПАО Сбербанк России,SBR028-2509080045.1,1,г. Москва-6. Процедура продажи б.у. ИТ оборудования в количестве 20 штук.,Other,83200.0,,2.857142857142857,repeated_subject_price_shift,same subject price spread 2.86x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3392812
ПАО Сбербанк России,SBR028-2506020038.1,1,г. Астрахань. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,83000.0,,3.125,repeated_subject_price_shift,same subject price spread 3.12x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3128237
ПАО Сбербанк России,SBR028-2406110034.1,1,г. Владимир. Процедура продажи б.у. ИТ оборудования в количестве 51 штук.,Other,82500.0,,2.0220588235294117,repeated_subject_price_shift,same subject price spread 2.02x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2026311
ПАО Сбербанк России,SBR028-2405290010.1,1,г. Владимир. Процедура продажи б.у. ИТ оборудования в количестве 51 штук.,Other,82500.0,,2.0220588235294117,repeated_subject_price_shift,same subject price spread 2.02x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1977097
ПАО Сбербанк России,SBR028-2407220023.1,1,г. Владимир. Процедура продажи б.у. ИТ оборудования в количестве 51 штук.,Other,81600.0,,2.0220588235294117,repeated_subject_price_shift,same subject price spread 2.02x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2147820
ПАО Сбербанк России,SBR028-2406250026.1,1,г. Владимир. Процедура продажи б.у. ИТ оборудования в количестве 51 штук.,Other,81600.0,,2.0220588235294117,repeated_subject_price_shift,same subject price spread 2.02x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2077111
ПАО Сбербанк России,SBR028-2501200038.1,1,г. Москва2. Процедура продажи б.у. ИТ оборудования в количестве 20 штук.,Other,80000.0,,3.38625,repeated_subject_price_shift,same subject price spread 3.39x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2694433
ПАО Сбербанк России,SBR028-2412240035.1,1,г. Москва-8. Процедура продажи б.у. ИТ оборудования в количестве 10 штук.,Other,80000.0,,3.4,repeated_subject_price_shift,same subject price spread 3.40x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2641671
ПАО Сбербанк России,SBR028-2410100027.1,1,г. Пермь 2. Процедура продажи б.у. ИТ оборудования в количестве 100 штук.,Other,80000.0,,2.50625,repeated_subject_price_shift,same subject price spread 2.51x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2374362
ПАО Сбербанк России,SBR028-2406250063.1,1,г. Санкт-Петербург 3. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,80000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2077183
ПАО Сбербанк России,SBR028-2405290034.1,1,г. Волгоград. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,80000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1977152
ПАО Сбербанк России,SBR028-2405290033.1,1,г. Саратов 2. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,80000.0,,2.5,repeated_subject_price_shift,same subject price spread 2.50x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1977147
ПАО Сбербанк России,SBR028-2404100053.1,1,г. Астрахань. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,80000.0,,3.125,repeated_subject_price_shift,same subject price spread 3.12x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1827435
ПАО Сбербанк России,SBR028-2404100047.1,1,г. Пермь. Процедура продажи б.у. ИТ оборудования в количестве 40 штук.,Other,80000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1827414
ПАО Сбербанк России,SBR028-2402280020.1,1,г. Вологда. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,80000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1668526
ПАО Сбербанк России,SBR028-2402280018.1,1,г. Саратов. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,80000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1668522
ПАО Сбербанк России,SBR028-2406110063.1,1,г. Санкт-Петербург 1. Процедура продажи б.у. ИТ оборудования в количестве 17 штук.,Other,77200.0,,2.838235294117647,repeated_subject_price_shift,same subject price spread 2.84x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2026365
